time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-25T15:35:48.960Z,39.1246681,-120.0390015,-1.72,2.79,md,19,55,0.107,0.16,nc,nc73554390,2021-04-25T15:38:08.263Z,"9km SE of Dollar Point, CA",earthquake,0.38,4.16,0.29,13,automatic,nc,nc
2021-04-25T15:33:23.830Z,39.1373329,-120.0458298,-2.03,3.79,mw,85,56,,0.46,nc,nc73554385,2021-04-25T15:38:52.100Z,"7km SE of Dollar Point, CA",earthquake,0.32,1.44,,3,automatic,nc,nc
2021-04-25T15:31:55.461Z,61.2128,-147.0324,0,1.5,ml,,,,0.8,ak,ak0215afx6ay,2021-04-25T15:35:51.929Z,"37 km WNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-04-25T15:14:44.158Z,61.8146,-152.239,10.2,1.5,ml,,,,0.87,ak,ak0215afti9l,2021-04-25T15:34:11.566Z,"48 km WSW of Skwentna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T15:12:29.946Z,61.151,-147.2011,0,1.7,ml,,,,1.37,ak,ak0215aft1nr,2021-04-25T15:18:49.291Z,"42 km NW of Tatitlek, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-25T15:07:46.824Z,62.2292,-151.7725,99.8,1.4,ml,,,,0.58,ak,ak0215afs0jm,2021-04-25T15:15:28.206Z,"33 km NW of Skwentna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-04-25T15:05:02.360Z,38.1653,-117.9757,2.9,0.9,ml,8,97.26,0.03,0.11,nn,nn00805750,2021-04-25T15:34:23.560Z,"27 km SSE of Mina, Nevada",earthquake,,2.1,,,automatic,nn,nn
2021-04-25T15:02:48.050Z,19.2098331451416,-155.38200378418,33.060001373291,2.13000011,md,41,158,,0.170000002,hv,hv72440887,2021-04-25T15:06:04.830Z,"10 km E of Pāhala, Hawaii",earthquake,0.54,0.930000007,0.129999995,5,automatic,hv,hv
2021-04-25T14:48:04.054Z,14.1249,-91.2411,42.97,4.2,mb,,187,0.592,0.18,us,us6000e4nv,2021-04-25T15:33:06.040Z,"10 km SE of Nueva Concepción, Guatemala",earthquake,6.3,25.3,0.263,4,reviewed,us,us
2021-04-25T14:45:44.478Z,65.4376,-144.7747,1,1.3,ml,,,,0.59,ak,ak0215afepwv,2021-04-25T14:49:12.096Z,"15 km S of Central, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T14:44:56.800Z,19.1868324279785,-155.460494995117,36.1399993896484,1.76999998,md,39,116,,0.119999997,hv,hv72440872,2021-04-25T14:48:03.730Z,"2 km SE of Pāhala, Hawaii",earthquake,0.68,0.949999988,1.76999998,4,automatic,hv,hv
